Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
adès — ål dìs — urmài l'è fàdå 'ssè —,ormai è fatta —,<sos> adès ål dìs urmài l'è fàdå 'ssè <eos>,<sos> ormai è fatta <eos>
— diga quando l'è stöf ca l' sa tè-e sö a tochelì! —,— digli che quando è stanco si tagli a pezzettini! —,<sos> diga quando l'è stöf ca l' sa tè-e sö a tochelì ! <eos>,<sos> digli che quando è stanco si tagli a pezzettini ! <eos>
— a ghe l'ó facia al prìncipe!,— al principe!,<sos> a ghe l'ó facia al prìncipe ! <eos>,<sos> al principe ! <eos>
la iènå l'è 'gnìdå,la iena è venuta,<sos> la iènå l'è 'gnìdå <eos>,<sos> la iena è venuta <eos>
födèhei déter tüddü!,— fossero dentro tutti e due!,<sos> födèhei déter tüddü ! <eos>,<sos> fossero dentro tutti e due ! <eos>
gh'è sö ü castèl,c'è un castello,<sos> gh'è sö ü castèl <eos>,<sos> c'è un castello <eos>
la cór,corre,<sos> la cór <eos>,<sos> corre <eos>
anche a chèl,anche a quello,<sos> anche a chèl <eos>,<sos> anche a quello <eos>
e l'è 'nada śó,ed è andata,<sos> e l'è 'nada śó <eos>,<sos> ed è andata <eos>
te spuśaré 'l Rè-Serpènte,sposerai il Re Serpente,<sos> te spuśaré 'l rè-serpènte <eos>,<sos> sposerai il re serpente <eos>
quàndo l'è stàc ciamàt suldàt,quando è stato chiamato alla leva,<sos> quàndo l'è stàc ciamàt suldàt <eos>,<sos> quando è stato chiamato alla leva <eos>
hà che 'm gi a crómpå! — la hò màmå l'à dìt essè: — öt po',la mamma ha detto:,<sos> hà che 'm gi a crómpå ! la hò màmå l'à dìt essè öt po' <eos>,<sos> la mamma ha detto <eos>
töt ol mónt i a arderèh a nóter —,tutto il mondo guarderebbe a noi! —,<sos> töt ol mónt i a arderèh a nóter <eos>,<sos> tutto il mondo guarderebbe a noi ! <eos>
lücià e lùcià,piangeva e piangeva,<sos> lücià e lùcià <eos>,<sos> piangeva e piangeva <eos>
farói po' comè mé?,come farò? »,<sos> farói po' comè mé ? <eos>,<sos> come farò ? <eos>
e i a fàt sö 'l sò fagutì,ha fatto il fagottino:,<sos> e i a fàt sö 'l sò fagutì <eos>,<sos> ha fatto il fagottino <eos>
« madóna — 'l dìh — che pura! »,« madonna che paura! »,<sos> madóna 'l dìh che pura ! <eos>,<sos> madonna che paura ! <eos>
edèh em gh'arà pò piö de patì la fàm —,ora non dovremo più patire la fame —,<sos> edèh em gh'arà pò piö de patì la fàm <eos>,<sos> ora non dovremo più patire la fame <eos>
la gh'à dàt de bì-e,e da bere,<sos> la gh'à dàt de bì-e <eos>,<sos> e da bere <eos>
àidem!,aiutami!,<sos> àidem ! <eos>,<sos> aiutami ! <eos>
e 'n l'óter,e nell'ultimo,<sos> e 'n l'óter <eos>,<sos> e nell'ultimo <eos>
béh,beh,<sos> béh <eos>,<sos> beh <eos>
lé töc alégher,erano tutti allegri,<sos> lé töc alégher <eos>,<sos> erano tutti allegri <eos>
e lùr pòtå,loro,<sos> e lùr pòtå <eos>,<sos> loro <eos>
al sò famèi:,al famiglio:,<sos> al sò famèi <eos>,<sos> al famiglio <eos>
e 'l Signùr al ga dìh:,il Signore le chiede:,<sos> e 'l signùr al ga dìh <eos>,<sos> il signore le chiede <eos>
en biciclèta! —,in bicicletta!,<sos> en biciclèta ! <eos>,<sos> in bicicletta ! <eos>
la troverài,la troverai,<sos> la troverài <eos>,<sos> la troverai <eos>
'l ghe mèt ogliò li sèt lèngue,le sette lingue,<sos> 'l ghe mèt ogliò li sèt lèngue <eos>,<sos> le sette lingue <eos>
e 'l gi à dìt:,che ha detto:,<sos> e 'l gi à dìt <eos>,<sos> che ha detto <eos>
ma nóter em sè sciòre,ma noi siamo ricchi,<sos> ma nóter em sè sciòre <eos>,<sos> ma noi siamo ricchi <eos>
— ünà tìgnelå tè,— una tienila tu,<sos> ünà tìgnelå tè <eos>,<sos> una tienila tu <eos>
'ndó a' mé a trà la tila »,vado anch'io a tirare la tela »,<sos> 'ndó a' mé a trà la tila <eos>,<sos> vado anch'io a tirare la tela <eos>
grassie!,grazie!,<sos> grassie ! <eos>,<sos> grazie ! <eos>
— trìgå de 'gnì ché e martiriśàm! —,— smetti di venire a tormentarmi! —,<sos> trìgå de 'gnì ché e martiriśàm ! <eos>,<sos> smetti di venire a tormentarmi ! <eos>
i è restàt incantàc,sono rimasti di stucco,<sos> i è restàt incantàc <eos>,<sos> sono rimasti di stucco <eos>
l'éra là amò bèl,era ancora,<sos> l'éra là amò bèl <eos>,<sos> era ancora <eos>
'l gh'à śvelàt tüc i secréti,il canarino ha svelato tutti i segreti,<sos> 'l gh'à śvelàt tüc i secréti <eos>,<sos> il canarino ha svelato tutti i segreti <eos>
de mètel söl patìbol,di metterlo sul patibolo,<sos> de mètel söl patìbol <eos>,<sos> di metterlo sul patibolo <eos>
'l paha tànt tép,tanto tempo dopo,<sos> 'l paha tànt tép <eos>,<sos> tanto tempo dopo <eos>
l'éra amìcå d'üna strégå,era amica di una strega,<sos> l'éra amìcå d'üna strégå <eos>,<sos> era amica di una strega <eos>
'l fà haltà de tüt,mette tutto sottosopra,<sos> 'l fà haltà de tüt <eos>,<sos> mette tutto sottosopra <eos>
bi-ìt ü bicér de 'ì bìànch,bevuto un bicchiere di vino bianco,<sos> bi-ìt ü bicér de 'ì bìànch <eos>,<sos> bevuto un bicchiere di vino bianco <eos>
Barba-di-tórdo rè?,Barba-di-tordo re?,<sos> barba-di-tórdo rè ? <eos>,<sos> barba-di-tordo re ? <eos>
lé la l'à ringrassiàt,lei l'ha ringraziato,<sos> lé la l'à ringrassiàt <eos>,<sos> lei l'ha ringraziato <eos>
a purtà i öf ala hò màmå,a portare le uova alla mamma,<sos> a purtà i öf ala hò màmå <eos>,<sos> a portare le uova alla mamma <eos>
dòpo de 'm pó,dopo un po',<sos> dòpo de 'm pó <eos>,<sos> dopo un po' <eos>
ma lé la rócå gna' 'l füs,"né la rocca, né il fuso",<sos> ma lé la rócå gna' 'l füs <eos>,"<sos> né la rocca , né il fuso <eos>"
— 'ndóm con nù,— vieni con noi?,<sos> 'ndóm con nù <eos>,<sos> vieni con noi ? <eos>
comunque,comunque,<sos> comunque <eos>,<sos> comunque <eos>
gh'éra 'l föch che lüśìa,c'era il fuoco che brillava,<sos> gh'éra 'l föch che lüśìa <eos>,<sos> c'era il fuoco che brillava <eos>
agitàt e 'l gh'à dìt:,agitato e gli dice:,<sos> agitàt e 'l gh'à dìt <eos>,<sos> agitato e gli dice <eos>
a meśanòt on punto,a mezzanotte in punto,<sos> a meśanòt on punto <eos>,<sos> a mezzanotte in punto <eos>
e la ga dìs: — tè,e gli dice:,<sos> e la ga dìs tè <eos>,<sos> e gli dice <eos>
la he n'è 'ncórta a' lé,se n'era accorta,<sos> la he n'è 'ncórta a' lé <eos>,<sos> se n'era accorta <eos>
l'órco 'l runcà-å,l'orco russare,<sos> l'órco 'l runcà-å <eos>,<sos> l'orco russare <eos>
pò dòpo metì śgió li palanche che mé la sérå — 'l dìs —,"e poi metterci i soldi, così io di sera",<sos> pò dòpo metì śgió li palanche che mé la sérå 'l dìs <eos>,"<sos> e poi metterci i soldi , così io di sera <eos>"
l'érå tàc de chi àgn che mé 'gnìe hö,erano tanti anni che salivo,<sos> l'érå tàc de chi àgn che mé 'gnìe hö <eos>,<sos> erano tanti anni che salivo <eos>
e pò anche 'l Rè-Serpènte,e anche il Re-Serpente,<sos> e pò anche 'l rè-serpènte <eos>,<sos> e anche il re-serpente <eos>
la dìs: — 'gnì śó ché hóta la strada ché,vieni a lato della strada,<sos> la dìs 'gnì śó ché hóta la strada ché <eos>,<sos> vieni a lato della strada <eos>
l'à dìt: — al gh'è ü bèl parco 'n dóla,— c'è un bel parco nella,<sos> l'à dìt al gh'è ü bèl parco 'n dóla <eos>,<sos> c'è un bel parco nella <eos>
dòpo de 'm pó,dopo un po',<sos> dòpo de 'm pó <eos>,<sos> dopo un po' <eos>
gna' 'l campanèl,né campanello,<sos> gna' 'l campanèl <eos>,<sos> né campanello <eos>
e i l'à ciamàt lei l'à tràt,l'hanno chiamato tirato,<sos> e i l'à ciamàt lei l'à tràt <eos>,<sos> l'hanno chiamato tirato <eos>
— madóna 'l dìh — Divìn Maèstro,— Divin Maestro,<sos> madóna 'l dìh divìn maèstro <eos>,<sos> divin maestro <eos>
ål gh'à dìt:,le ha detto:,<sos> ål gh'à dìt <eos>,<sos> le ha detto <eos>
ma l'è mé fradèl,ma è mio fratello,<sos> ma l'è mé fradèl <eos>,<sos> ma è mio fratello <eos>
lü 'l sa metìa dré cóme a pianśì,lui scoppiava a piangere,<sos> lü 'l sa metìa dré cóme a pianśì <eos>,<sos> lui scoppiava a piangere <eos>
dèlå céśå,nella chiesa,<sos> dèlå céśå <eos>,<sos> nella chiesa <eos>
gliùra 'l rè,allora il re,<sos> gliùra 'l rè <eos>,<sos> allora il re <eos>
— ada Śgìoanì — 'l dìh —,— Giovannino,<sos> ada śgìoanì 'l dìh <eos>,<sos> giovannino <eos>
e vìo!,e via!,<sos> e vìo ! <eos>,<sos> e via ! <eos>
'l ga dìs ol Signùr:,dice il Signore:,<sos> 'l ga dìs ol signùr <eos>,<sos> dice il signore <eos>
l'è füsgìt amò,è scappato ancora,<sos> l'è füsgìt amò <eos>,<sos> è scappato ancora <eos>
la faró miga mé perchè mé la lahe mìa scapà,perché non la lascerò scappare,<sos> la faró miga mé perchè mé la lahe mìa scapà <eos>,<sos> perché non la lascerò scappare <eos>
per ho cönt,a sé,<sos> per ho cönt <eos>,<sos> a sé <eos>
« ché bache hö d'la fàm! »,« qui patisco la fame! »,<sos> ché bache hö d'la fàm ! <eos>,<sos> qui patisco la fame ! <eos>
l'è de 'stå bàndå ché,da quella parte,<sos> l'è de 'stå bàndå ché <eos>,<sos> da quella parte <eos>
e i gh'éå apénå ü tuśèl,avevano un solo ragazzo,<sos> e i gh'éå apénå ü tuśèl <eos>,<sos> avevano un solo ragazzo <eos>
'l pàhå jó 'n dol paìs del Dès,passa per il paese di Dezzo,<sos> 'l pàhå jó 'n dol paìs del dès <eos>,<sos> passa per il paese di dezzo <eos>
che 'l gh'érå piö chèl che hervìå,che non c'era più quello che serviva,<sos> che 'l gh'érå piö chèl che hervìå <eos>,<sos> che non c'era più quello che serviva <eos>
'àn che l'è 'gnìdå jó d'la caròhå,quando è scesa dalla carrozza,<sos> 'àn che l'è 'gnìdå jó d'la caròhå <eos>,<sos> quando è scesa dalla carrozza <eos>
ó troàt chèla s-cèta ché,ho trovato questa ragazza,<sos> ó troàt chèla s-cèta ché <eos>,<sos> ho trovato questa ragazza <eos>
al dìs: — parte dümìnica he ghe n' fà nì-ènt,— se non le fa niente parto domenica,<sos> al dìs parte dümìnica he ghe n' fà nì-ènt <eos>,<sos> se non le fa niente parto domenica <eos>
tàt brüte,ma tanto brutte,<sos> tàt brüte <eos>,<sos> ma tanto brutte <eos>
de ciundulì e ciundulù,di ciondolini e ciondoloni,<sos> de ciundulì e ciundulù <eos>,<sos> di ciondolini e ciondoloni <eos>
— ma coś'ét fàc?,— ma cos'hai fatto?,<sos> ma coś'ét fàc ? <eos>,<sos> ma cos'hai fatto ? <eos>
'm sé custrèc a èndelå perché,adesso siamo costretti a venderla perché,<sos> 'm sé custrèc a èndelå perché <eos>,<sos> adesso siamo costretti a venderla perché <eos>
de tö hö la rócå e 'l füs,di prendere la rocca e il fuso,<sos> de tö hö la rócå e 'l füs <eos>,<sos> di prendere la rocca e il fuso <eos>
quando è ri-àc a cà,arrivati là,<sos> quando è ri-àc a cà <eos>,<sos> arrivati là <eos>
e diglio che,e digli che,<sos> e diglio che <eos>,<sos> e digli che <eos>
gh'è 'l drago-dèle-sète-tèste,il drago-delle-sette-teste,<sos> gh'è 'l drago-dèle-sète-tèste <eos>,<sos> il drago-delle-sette-teste <eos>
pòta la 'ndà-a 'n giro höla scagna d'óra höle spale,andava in giro seduta su una sedia d'oro portata a spalle,<sos> pòta la 'ndà-a 'n giro höla scagna d'óra höle spale <eos>,<sos> andava in giro seduta su una sedia d'oro portata a spalle <eos>
amò a' piö tànt de lüso,più di lusso,<sos> amò a' piö tànt de lüso <eos>,<sos> più di lusso <eos>
a quàch manére,in brutti modi,<sos> a quàch manére <eos>,<sos> in brutti modi <eos>
spetóm fìn che l'è 'gnìt nòt,aspettiamo finché s'è fatto notte,<sos> spetóm fìn che l'è 'gnìt nòt <eos>,<sos> aspettiamo finché s'è fatto notte <eos>
'ndàc a tö la sò màmå,è andato a prendere la sua mamma,<sos> 'ndàc a tö la sò màmå <eos>,<sos> è andato a prendere la sua mamma <eos>
chèl là,quello,<sos> chèl là <eos>,<sos> quello <eos>
tüte trèi li tuśe,tutte e tre le ragazze,<sos> tüte trèi li tuśe <eos>,<sos> tutte e tre le ragazze <eos>
e lé la gh'à dìt esè:,lei ha risposto:,<sos> e lé la gh'à dìt esè <eos>,<sos> lei ha risposto <eos>
l'è 'gnìt en sö cóla hò stanga,è tornato in su con la stanga,<sos> l'è 'gnìt en sö cóla hò stanga <eos>,<sos> è tornato in su con la stanga <eos>
che te fó ni-ént de màl —,che non ti faccio niente di male —,<sos> che te fó ni-ént de màl <eos>,<sos> che non ti faccio niente di male <eos>
i fà:,dicono:,<sos> i fà <eos>,<sos> dicono <eos>
dàm la pudètå!,dammi la roncola!,<sos> dàm la pudètå ! <eos>,<sos> dammi la roncola ! <eos>
i 'ncóntrå,incontrano,<sos> i 'ncóntrå <eos>,<sos> incontrano <eos>
l'è di-entàt töt de marmo,è diventato statua di marmo,<sos> l'è di-entàt töt de marmo <eos>,<sos> è diventato statua di marmo <eos>
e pace!,e pace!,<sos> e pace ! <eos>,<sos> e pace ! <eos>
— fém öna bèla ròba,— facciamo una bella cosa,<sos> fém öna bèla ròba <eos>,<sos> facciamo una bella cosa <eos>
adès te mange! —,adesso ti mangio! —,<sos> adès te mange ! <eos>,<sos> adesso ti mangio ! <eos>
a 'ndó mé —,vado io —,<sos> a 'ndó mé <eos>,<sos> vado io <eos>
"de tüc i culùr, pròpe i colóri dell'arcobaleno",era di tutti i colori proprio i colori dell'arcobaleno,"<sos> de tüc i culùr , pròpe i colóri dell'arcobaleno <eos>",<sos> era di tutti i colori proprio i colori dell'arcobaleno <eos>
— edèh — ål dìs — ål gh'è ü lüśürì,— c'è un lumicino,<sos> edèh ål dìs ål gh'è ü lüśürì <eos>,<sos> c'è un lumicino <eos>
« a 'ndà bé — 'l dìs — chèl móstro lé — 'l dìh — al gh'à reśù! »,«vuoi vedere che quel mostro ha ragione? »,<sos> a 'ndà bé 'l dìs chèl móstro lé 'l dìh al gh'à reśù ! <eos>,<sos> vuoi vedere che quel mostro ha ragione ? <eos>
e 'l gh'è lé üna fómnå che la 'ngóśgiå,c'è una donna che sferruzza,<sos> e 'l gh'è lé üna fómnå che la 'ngóśgiå <eos>,<sos> c'è una donna che sferruzza <eos>
dumà de sérå chi che só,domani sera,<sos> dumà de sérå chi che só <eos>,<sos> domani sera <eos>
dato che,dato che,<sos> dato che <eos>,<sos> dato che <eos>
de lé ön àtimo 'l Signur,un attimo dopo il Signore,<sos> de lé ön àtimo 'l signur <eos>,<sos> un attimo dopo il signore <eos>
perchè 'nsöma lü l'ìa fàt,perché insomma lui aveva fattę,<sos> perchè 'nsöma lü l'ìa fàt <eos>,<sos> perché insomma lui aveva fatt <eos>
perchè 'ntàt la risparmià-å i sólc,così risparmiava,<sos> perchè 'ntàt la risparmià-å i sólc <eos>,<sos> così risparmiava <eos>
'l mulì férem,il mulino fermo,<sos> 'l mulì férem <eos>,<sos> il mulino fermo <eos>
pò chèl màt ål dìh essè:,poi quello matto dice:,<sos> pò chèl màt ål dìh essè <eos>,<sos> poi quello matto dice <eos>
l'à caminàt,ha camminato,<sos> l'à caminàt <eos>,<sos> ha camminato <eos>
comunque adès å 'ndó a tö l'àcquå-che-bàlå,comunque adesso vado a prendere l'acqua-che-balla,<sos> comunque adès å 'ndó a tö l'àcquå-che-bàlå <eos>,<sos> comunque adesso vado a prendere l'acqua-che-balla <eos>
perchè la ghe n'à hö piö gna' ünà d'ü sòi tuśe,che non ha più nessuna delle sue figlie,<sos> perchè la ghe n'à hö piö gna' ünà d'ü sòi tuśe <eos>,<sos> che non ha più nessuna delle sue figlie <eos>
e i ghe trà-a vià li cu-érte,tiravano le coperte,<sos> e i ghe trà-a vià li cu-érte <eos>,<sos> tiravano le coperte <eos>
« proèm — al dìs — se la 'à bé »,« proviamo se va bene »,<sos> proèm al dìs se la 'à bé <eos>,<sos> proviamo se va bene <eos>
— hé — 'l dìs — chi che ga 'à d'envèrs sölé — 'l dìh — gh'è hö de chèi peöc che 'h pöl mìa!,— ma chi gli va vicino? ci sono di quei pidocchi lassù!,<sos> hé 'l dìs chi che ga 'à d'envèrs sölé 'l dìh gh'è hö de chèi peöc che 'h pöl mìa ! <eos>,<sos> ma chi gli va vicino ? ci sono di quei pidocchi lassù ! <eos>
de màl — 'l dìh — cóha gh'è dét pò?,non c'è niente di male,<sos> de màl 'l dìh cóha gh'è dét pò ? <eos>,<sos> non c'è niente di male <eos>
prìmå de cupàm —,prima di ammazzarmi —,<sos> prìmå de cupàm <eos>,<sos> prima di ammazzarmi <eos>
öna egiahina,una vecchietta,<sos> öna egiahina <eos>,<sos> una vecchietta <eos>
e l'è 'ndài töt a carbù,che è diventato tutto un carbone,<sos> e l'è 'ndài töt a carbù <eos>,<sos> che è diventato tutto un carbone <eos>
e gliùra la ciàma 'l hò òm,allora chiama il suo uomo,<sos> e gliùra la ciàma 'l hò òm <eos>,<sos> allora chiama il suo uomo <eos>
e gliùrå i à dìt essè:,allora dicono:,<sos> e gliùrå i à dìt essè <eos>,<sos> allora dicono <eos>
la Bèlla-Pastórå l'érå mìå a brasèt al prìncipe,la Bella-Pastora non era a braccetto del principe,<sos> la bèlla-pastórå l'érå mìå a brasèt al prìncipe <eos>,<sos> la bella-pastora non era a braccetto del principe <eos>
i m'à dàt de bé-e 'n d'ü sa-àt,mi hanno dato da bere in una ciabatta,<sos> i m'à dàt de bé-e 'n d'ü sa-àt <eos>,<sos> mi hanno dato da bere in una ciabatta <eos>
lé l'è urida 'ndà fò a töla śgió,ha voluto coglierla,<sos> lé l'è urida 'ndà fò a töla śgió <eos>,<sos> ha voluto coglierla <eos>
perchè ói de fà chè mé?,perché cosa faccio qui?,<sos> perchè ói de fà chè mé ? <eos>,<sos> perché cosa faccio qui ? <eos>
che lé 'l püdìa pahà fò hura 'sta röda del mulì,che poteva passare sopra la ruota del mulino,<sos> che lé 'l püdìa pahà fò hura 'sta röda del mulì <eos>,<sos> che poteva passare sopra la ruota del mulino <eos>
pìrlelå,e rivoltala,<sos> pìrlelå <eos>,<sos> e rivoltala <eos>
di módo che 'l prìncipe 'l s'è śvegliàt,così lui si è svegliato,<sos> di módo che 'l prìncipe 'l s'è śvegliàt <eos>,<sos> così lui si è svegliato <eos>
— hé!,— sì,<sos> hé ! <eos>,<sos> sì <eos>
ol mé nòm!,il mio nome!,<sos> ol mé nòm ! <eos>,<sos> il mio nome ! <eos>
turne 'ndré,torno indietro,<sos> turne 'ndré <eos>,<sos> torno indietro <eos>
ma lé la j à hèmper dìt:,quella insisteva:,<sos> ma lé la j à hèmper dìt <eos>,<sos> quella insisteva <eos>
la t'à dàt la curùnå dol ruśare,ti ha dato la corona del rosario,<sos> la t'à dàt la curùnå dol ruśare <eos>,<sos> ti ha dato la corona del rosario <eos>
però stà ché,però rimani qui,<sos> però stà ché <eos>,<sos> però rimani qui <eos>
poarì a' lü!,poveretto!,<sos> poarì a' lü ! <eos>,<sos> poveretto ! <eos>
"fìn che ve hune mé 'l campanèl e gliùrå me tiraré hö, 'chè mé — l'à dìt —","finché io suonerò il campanello, allora mi tirerete su, perché","<sos> fìn che ve hune mé 'l campanèl e gliùrå me tiraré hö , 'chè mé l'à dìt <eos>","<sos> finché io suonerò il campanello , allora mi tirerete su , perché <eos>"
— a chi?,— a chi?,<sos> a chi ? <eos>,<sos> a chi ? <eos>
chi mi paleśerà,chi mi paleserà,<sos> chi mi paleśerà <eos>,<sos> chi mi paleserà <eos>
— sé sé —,— sì —,<sos> sé sé <eos>,<sos> sì <eos>
ta lé-e fò mé,ti alleverò io,<sos> ta lé-e fò mé <eos>,<sos> ti alleverò io <eos>
per 'nà a cà a edì la spuśa e la mé mama cóha le gh'à,per andare a vedere cos'hanno mia moglie e mia madre,<sos> per 'nà a cà a edì la spuśa e la mé mama cóha le gh'à <eos>,<sos> per andare a vedere cos'hanno mia moglie e mia madre <eos>
i cumìnciå:,cominciano:,<sos> i cumìnciå <eos>,<sos> cominciano <eos>
però,però,<sos> però <eos>,<sos> però <eos>
— Divìn Maèstro — 'l dìh — he,— Divin Maestro se,<sos> divìn maèstro 'l dìh he <eos>,<sos> divin maestro se <eos>
che la ürirà mangià ol curdù,e vorrà mangiare la corda grossa,<sos> che la ürirà mangià ol curdù <eos>,<sos> e vorrà mangiare la corda grossa <eos>
la troverài,la troverai,<sos> la troverài <eos>,<sos> la troverai <eos>
giróm em pó — 'l dìh — che 'm và a edì he veramènt l'è rotónt,"giriamo un po', andiamo a vedere se è veramente rotondo",<sos> giróm em pó 'l dìh che 'm và a edì he veramènt l'è rotónt <eos>,"<sos> giriamo un po' , andiamo a vedere se è veramente rotondo <eos>"
lé töta contéta,lei tutta contenta,<sos> lé töta contéta <eos>,<sos> lei tutta contenta <eos>
— 'm và 'n sércå de fortünå,— in cerca di fortuna,<sos> 'm và 'n sércå de fortünå <eos>,<sos> in cerca di fortuna <eos>
e dì la mèhå,a recitare la messa,<sos> e dì la mèhå <eos>,<sos> a recitare la messa <eos>
gliùra lü Piéro 'l fà hö öna cantada,allora Pietro si mette a cantare,<sos> gliùra lü piéro 'l fà hö öna cantada <eos>,<sos> allora pietro si mette a cantare <eos>
al pödéå pò capìlå che gli ó dìt,"— poteva capirla, gliel'avevo detto",<sos> al pödéå pò capìlå che gli ó dìt <eos>,"<sos> poteva capirla , gliel'avevo detto <eos>"
ch'i gh'à hòta i bèh-ce,sotto le bestie,<sos> ch'i gh'à hòta i bèh-ce <eos>,<sos> sotto le bestie <eos>
"— cóme 'm fai a 'ndà che m'ehtà de lóns, de lóns",— come faccio ad andarci che abitiamo tanto lontano?,"<sos> cóme 'm fai a 'ndà che m'ehtà de lóns , de lóns <eos>",<sos> come faccio ad andarci che abitiamo tanto lontano ? <eos>
l'érå ghìgnå ma,e furba,<sos> l'érå ghìgnå ma <eos>,<sos> e furba <eos>
e gliùrå i è 'ndàt gió de 'stå piàntå,allora sono scesi dalla pianta,<sos> e gliùrå i è 'ndàt gió de 'stå piàntå <eos>,<sos> allora sono scesi dalla pianta <eos>
ogliùrå,allora,<sos> ogliùrå <eos>,<sos> allora <eos>
ma lé,ma lei,<sos> ma lé <eos>,<sos> ma lei <eos>
tu vài in cérca dèlla Bèlla-Pastóra,tu vai in cerca della Bella-Pastora,<sos> tu vài in cérca dèlla bèlla-pastóra <eos>,<sos> tu vai in cerca della bella-pastora <eos>
fónt,profondo,<sos> fónt <eos>,<sos> profondo <eos>
che troverài fortuna! —,eh troverai fortuna! —,<sos> che troverài fortuna ! <eos>,<sos> eh troverai fortuna ! <eos>
madónå!,madonna!,<sos> madónå ! <eos>,<sos> madonna ! <eos>
óh cóme harèh contéta! »,oh come sarei contenta! »,<sos> óh cóme harèh contéta ! <eos>,<sos> oh come sarei contenta ! <eos>
li se póstå amò söla capànnå,si mettono di nuovo sulla capanna,<sos> li se póstå amò söla capànnå <eos>,<sos> si mettono di nuovo sulla capanna <eos>
gna' chi che sunà-å,né chi suonava,<sos> gna' chi che sunà-å <eos>,<sos> né chi suonava <eos>
perchè te sé mìa stada bùnå de tégn ol secréto,perché non sei stata capace di mantenere il segreto,<sos> perchè te sé mìa stada bùnå de tégn ol secréto <eos>,<sos> perché non sei stata capace di mantenere il segreto <eos>
menemà 'l rìå ün òm,ad un tratto incontra un uomo,<sos> menemà 'l rìå ün òm <eos>,<sos> ad un tratto incontra un uomo <eos>
i ciapà-å tüt fàt,c'era tutto pronto,<sos> i ciapà-å tüt fàt <eos>,<sos> c'era tutto pronto <eos>
menà mé a brasèt,portare a braccetto,<sos> menà mé a brasèt <eos>,<sos> portare a braccetto <eos>
paha ö dé,passa un giorno,<sos> paha ö dé <eos>,<sos> passa un giorno <eos>
l'è cundanàt a mórt,è condannato a morte,<sos> l'è cundanàt a mórt <eos>,<sos> è condannato a morte <eos>
— tè se te me dé amó ünå càvrå,— se mi dai un'altra capra,<sos> tè se te me dé amó ünå càvrå <eos>,<sos> se mi dai un'altra capra <eos>
adès ta ègnet a cà con mé,adesso verrai a casa con me,<sos> adès ta ègnet a cà con mé <eos>,<sos> adesso verrai a casa con me <eos>
hentàt śó sö 'n giö tròno de piètra,seduto su un trono di pietra,<sos> hentàt śó sö 'n giö tròno de piètra <eos>,<sos> seduto su un trono di pietra <eos>
li gh'éa l'abitüdine de 'ndà al cimitéro a dì sö rośare,avevano l'abitudine di andare al cimitero a recitare il rosario,<sos> li gh'éa l'abitüdine de 'ndà al cimitéro a dì sö rośare <eos>,<sos> avevano l'abitudine di andare al cimitero a recitare il rosario <eos>
chèl òm lé l'à metìt gió üna tuśìnå jó 'n fónt ela ca-àgnå,— quell'uomo ha messo una bambina in fondo alla cesta,<sos> chèl òm lé l'à metìt gió üna tuśìnå jó 'n fónt ela ca-àgnå <eos>,<sos> quell'uomo ha messo una bambina in fondo alla cesta <eos>
— e gliùrå ś' diśei che dócå?,— allora cosa devo dire?,<sos> e gliùrå ś' diśei che dócå ? <eos>,<sos> allora cosa devo dire ? <eos>
e pò dòpo i dìh: — em và,poi dicono: — andiamo,<sos> e pò dòpo i dìh em và <eos>,<sos> poi dicono andiamo <eos>
he mé gh'èh ö impèro che ha 'nchina denàc ai mé pè,se io avessi un impero che si inchina davanti ai miei piedi,<sos> he mé gh'èh ö impèro che ha 'nchina denàc ai mé pè <eos>,<sos> se io avessi un impero che si inchina davanti ai miei piedi <eos>
e 'l vèt ü bèl càp,vede un gran bel campo,<sos> e 'l vèt ü bèl càp <eos>,<sos> vede un gran bel campo <eos>
e pò dòpo la l'à spedìdå,e poi dopo l'ha spedita,<sos> e pò dòpo la l'à spedìdå <eos>,<sos> e poi dopo l'ha spedita <eos>
ma ti farò ricco! —,e ti farò ricco,<sos> ma ti farò ricco ! <eos>,<sos> e ti farò ricco <eos>
"— pàha jó, 'à jó 'n dol tò mulì!",— vattene al mulino,"<sos> pàha jó , 'à jó 'n dol tò mulì ! <eos>",<sos> vattene al mulino <eos>
avrèhef pò a' grignàt!,avresti riso!,<sos> avrèhef pò a' grignàt ! <eos>,<sos> avresti riso ! <eos>
al rìa hö 'n chèl pòht,arriva in quel posto,<sos> al rìa hö 'n chèl pòht <eos>,<sos> arriva in quel posto <eos>
àrdå che gliò hölå càpå dol camì,sulla cappa del camino,<sos> àrdå che gliò hölå càpå dol camì <eos>,<sos> sulla cappa del camino <eos>
per ü més,per un mese,<sos> per ü més <eos>,<sos> per un mese <eos>
ma 'l püdìa mìa pruseguì 'l viàs,ma non poteva proseguire il viaggio,<sos> ma 'l püdìa mìa pruseguì 'l viàs <eos>,<sos> ma non poteva proseguire il viaggio <eos>
ma te öet,ma che vuoi,<sos> ma te öet <eos>,<sos> ma che vuoi <eos>
e lü 'l gh'à dìc isé: — eéh và a cà,lui gli ha risposto: — vai a casa,<sos> e lü 'l gh'à dìc isé eéh và a cà <eos>,<sos> lui gli ha risposto vai a casa <eos>
